file_name,sgpa,cgpa
20010104055_1800265340.html,CGPA  8.34,Result  PASS
1902051035_1800265219.html,7.23,7.23
20010104030_1800265600.html,7.46,8.02
20010104026_1800265600.html,6.21,7.54
20010101022_1800265934.html,6.61,6.23
20010104015_1800265817.html,6.65,7.68
20010101063_1800265934.html,7.87,7.12
20010104029_1800265988.html,7.91,7.75
20010101002_1800265933.html,5.74,6.43
20010104022_1800265340.html,CGPA  6.43,"Result  EC-302 ,EC-303 ,EC-304,"
20010101048_1800265934.html,6.65,6.59
20010101021_1800265331.html,CGPA  5.99,"Result  MA-301 ,HS-305, CE-302 ,CE-303 ,"
20010104044_1800265600.html,3.25,5.10
20010104033_1800265600.html,6.46,7.37
20010101039_1800265469.html,4.67,6.34
20010101034_1800265814.html,5.81,6.77
20010101023_1800265934.html,4.17,4.67
20010101021_1800265788.html,4.50,6.55
15726_1800265830.html,Branch  Civil Engineering,Total  647
20010101007_1800265331.html,CGPA  7.82,Result  PASS
20010104003_1800265270.html,4.58,6.11
20010104053_1800265518.html,7.08,7.67
20010104041_1800265988.html,5.52,7.17
20010101013_1800265267.html,CGPA  6.81,Result  PASS
15760_1800265944.html,Branch  Civil Engineering,Total  520
20010104054_1800265988.html,7.61,8.04
20010104054_1800265518.html,7.88,8.26
20010101042_1800265934.html,7.00,7.12
20010101028_1800265331.html,CGPA  7.59,Result  PASS
20010101016_1800265814.html,7.96,7.89
20010104019_1800265817.html,4.04,6.93
20010101054_1800265469.html,4.33,6.41
20010101049_1800265814.html,8.26,8.56
20010104011_1800265817.html,6.81,7.68
20010104011_1800265518.html,7.67,7.87
20010104055_1800265988.html,7.57,7.69
20010104045_1800265817.html,6.92,7.51
20010104018_1800265270.html,4.17,6.50
20010101051_1800265934.html,5.78,5.57
20010101033_1800265814.html,4.48,5.79
20010101021_1800265934.html,5.96,5.87
20010101004_1800265934.html,8.57,8.30
20010104044_1800265821.html,3.25,5.10
20010101029_1800265934.html,6.22,7.21
20010104008_1800265821.html,6.58,7.30
20010305025_1800265275.html,CGPA  8.40,Result  PASS
20010104059_1800265821.html,5.38,6.90
20010104003_1800265821.html,5.83,6.54
20010101020_1800265934.html,7.83,7.19
20010101018_1800265931.html,5.46,7.04
20010104053_1800265817.html,5.54,7.30
20010101048_1800265331.html,CGPA  7.26,"Result  CE-301 ,"
15783_1800265829.html,Branch  Civil Engineering,Total  553
20010203040_1800265243.html,5.73,6.97
20010101037_1800265934.html,8.52,8.59
20010101032_1800265469.html,4.21,5.49
20010104022_1800265820.html,4.00,6.43
20010101057_1800265469.html,6.83,7.48
20010104043_1800265817.html,7.65,8.05
20010104062_1800265822.html,2.54,5.23
20010104047_1800265817.html,7.46,7.84
1902051035_1800265775.html,5.93,6.88
20010104020_1800265821.html,4.88,6.16
20010104032_1800265820.html,3.54,4.95
20010101023_1800265932.html,2.63,5.29
20010104033_1800265988.html,5.48,6.71
20010101063_1800265331.html,CGPA  7.49,Result  PASS
20010104004_1800265270.html,7.25,7.96
20010101031_1800265469.html,6.46,7.07
20010104059_1800265988.html,6.87,6.54
20010101054_1800265267.html,CGPA  6.92,"Result  CE-401 ,"
20010101032_1800265267.html,CGPA  5.43,"Result  MA-401 ,CE-401 , CE-402 ,CE-403 ,"
20010104018_1800265340.html,CGPA  7.26,Result  PASS
20010104052_1800265270.html,7.29,8.11
20010104015_1800265270.html,6.38,7.71
20010104036_1800265600.html,5.63,7.33
20010104062_1800265270.html,4.04,5.77
20010101011_1800265814.html,7.63,7.66
20010101051_1800265931.html,4.50,6.04
20010101037_1800265469.html,8.25,8.70
20010101010_1800265267.html,CGPA  8.65,Result  PASS
20010104008_1800265518.html,6.50,6.99
20010104061_1800265817.html,6.96,7.84
20010104036_1800265821.html,5.63,7.33
20010101019_1800265469.html,6.58,7.20
20010101050_1800265814.html,7.89,8.09
15787_1800265944.html,Branch  Civil Engineering,Total  537
20010104058_1800265518.html,7.67,7.54
20010104046_1800265988.html,7.26,7.70
20010104022_1800265270.html,2.88,5.56
20010104036_1800265817.html,4.54,6.75
20010104051_1800265518.html,7.50,7.59
20010104036_1800265270.html,5.63,7.33
20010104009_1800265270.html,5.17,7.51
20010104038_1800265986.html,5.88,6.98
20010104036_1800265988.html,5.61,6.83
20010101026_1800265499.html,5.69,7.15
20010101050_1800265934.html,8.09,8.09
20010101039_1800265331.html,CGPA  6.92,"Result  CE-301 ,"
20010101047_1800265469.html,6.25,6.70
15779_1800265830.html,Branch  Civil Engineering,Total  R
20010104038_1800265822.html,5.38,6.88
20010104028_1800265600.html,5.75,7.28
20010104015_1800265518.html,7.54,7.90
20010101011_1800265934.html,7.96,7.70
20010104050_1800265817.html,8.23,8.51
20010104011_1800265600.html,7.29,7.92
20010101001_1800265500.html,3.29,5.47
20010104023_1800265988.html,7.43,7.54
15770_1800265830.html,Branch  Civil Engineering,Total  R
20010104007_1800265270.html,5.42,7.20
20010101022_1800265499.html,5.85,6.93
20010101057_1800265934.html,7.61,7.39
20010104022_1800265821.html,4.63,5.99
