file_name,sgpa,cgpa
20011614024_1800265434.html,2,SGPA  7.31
20011614012_1800265434.html,2,SGPA  7.85
20011614032_1800265728.html,8.7333333333,RESULT  PASS
20011614007_1800265846.html,1,SGPA  8.33
20011614035_1800265728.html,8.1333333333,RESULT  PASS
20011614029_1800265727.html,R,"RESULT  BP-502T,BP-503T,BP-504T,"
20011614011_1800265846.html,1,SGPA  8.83
20011614023_1800265846.html,1,SGPA  8.08
20011614016_1800265728.html,8.2666666667,RESULT  PASS
20011614010_1800265434.html,2,SGPA  8.15
20011614013_1800265372.html,8.29,Result  PASS
20011614013_1800265846.html,1,SGPA  8.58
20011614029_1800265846.html,1,SGPA  6.92
20011614029_1800265434.html,2,SGPA  R
20011614003_1800265846.html,1,SGPA  8.92
20011614031_1800265434.html,2,SGPA  7.54
20011614006_1800265372.html,8.43,Result  PASS
20011614006_1800265846.html,1,SGPA  8.42
20011614024_1800265372.html,8.43,Result  PASS
20011614003_1800265728.html,8.6666666667,RESULT  PASS
20011614026_1800265728.html,8.4666666667,RESULT  PASS
20011614022_1800265434.html,2,SGPA  7.62
20011614033_1800265846.html,1,SGPA  8.58
20011614025_1800265846.html,1,SGPA  8.33
20011614005_1800265372.html,6.64,"Result  BP-404 T,"
20011614029_1800265843.html,2,SGPA  6.21
20011614030_1800265434.html,2,SGPA  7.15
20011614007_1800265372.html,8.50,Result  PASS
20011614029_1800265433.html,2,SGPA  R
20011614015_1800265372.html,8.07,Result  PASS
20011614030_1800265846.html,1,SGPA  8.17
20011614027_1800265372.html,9.07,Result  PASS
20011614010_1800265372.html,8.71,Result  PASS
20011614027_1800265846.html,1,SGPA  8.92
20011614022_1800265846.html,1,SGPA  8.67
20011614007_1800265434.html,2,SGPA  7.54
20011614030_1800265372.html,7.71,Result  PASS
20011614027_1800265728.html,8.8666666667,RESULT  PASS
20011614010_1800265728.html,8.8666666667,RESULT  PASS
20011614033_1800265728.html,8.5333333333,RESULT  PASS
20011614033_1800265372.html,8.64,Result  PASS
20011614025_1800265372.html,8.21,Result  PASS
20011614032_1800265434.html,2,SGPA  7.85
20011614005_1800265846.html,1,SGPA  8.42
20011614006_1800265728.html,8.1333333333,RESULT  PASS
20011614022_1800265728.html,8.4666666667,RESULT  PASS
20011614023_1800265728.html,7.9333333333,RESULT  PASS
20011614035_1800265372.html,7.29,Result  PASS
20011614029_1800265728.html,R,"RESULT  BP-604 T,BP-605 T,"
20011614017_1800265372.html,8.29,Result  PASS
20011614015_1800265846.html,1,SGPA  8.25
20011614023_1800265372.html,8.14,Result  PASS
20011614031_1800265728.html,8.3333333333,RESULT  PASS
20011614024_1800265846.html,1,SGPA  8.42
20011614015_1800265434.html,2,SGPA  7.46
20011614005_1800265434.html,2,SGPA  8.15
20011614010_1800265846.html,1,SGPA  9.17
20011614007_1800265728.html,8.6666666667,RESULT  PASS
20011614017_1800265728.html,8.3333333333,RESULT  PASS
20011614003_1800265434.html,2,SGPA  8.00
20011614025_1800265434.html,2,SGPA  7.31
20011614031_1800265846.html,1,SGPA  8.50
20011614035_1800265846.html,1,SGPA  8.50
20011614024_1800265728.html,8.3333333333,RESULT  PASS
20011614011_1800265728.html,8.4666666667,RESULT  PASS
20011614031_1800265372.html,8.21,Result  PASS
20011614012_1800265846.html,1,SGPA  8.75
20011614032_1800265846.html,1,SGPA  8.92
20011614015_1800265728.html,8.1333333333,RESULT  PASS
20011614016_1800265846.html,1,SGPA  8.08
20011614003_1800265372.html,9.14,Result  PASS
20011614016_1800265372.html,8.14,Result  PASS
20011614029_1800265845.html,2,SGPA  6.33
20011614016_1800265434.html,2,SGPA  7.46
20011614035_1800265434.html,2,SGPA  7.15
20011614025_1800265728.html,8.3333333333,RESULT  PASS
20011614019_1800265728.html,8.4666666667,RESULT  PASS
20011614026_1800265846.html,1,SGPA  9.08
20011614029_1800265726.html,R,"RESULT  BP-405 T,"
20011614027_1800265434.html,2,SGPA  8.23
20011614011_1800265434.html,2,SGPA  8.00
20011614033_1800265434.html,2,SGPA  7.54
20011614029_1800265370.html,7.52,Result  PASS
20011614029_1800265432.html,2,SGPA  7.17
20011614012_1800265372.html,8.71,Result  PASS
20011614017_1800265434.html,2,SGPA  7.62
20011614013_1800265434.html,2,SGPA  7.85
20011614023_1800265434.html,2,SGPA  7.08
20011614022_1800265372.html,8.93,Result  PASS
20011614017_1800265846.html,1,SGPA  7.83
20011614013_1800265728.html,8.3333333333,RESULT  PASS
20011614005_1800265728.html,8.4666666667,RESULT  PASS
20011614019_1800265846.html,1,SGPA  8.17
20011614026_1800265372.html,9.21,Result  PASS
20011614012_1800265728.html,8.5333333333,RESULT  PASS
20011614011_1800265372.html,9.21,Result  PASS
20011614019_1800265434.html,2,SGPA  6.92
20011614026_1800265434.html,2,SGPA  8.00
20011614030_1800265728.html,8.2666666667,RESULT  PASS
20011614006_1800265434.html,2,SGPA  7.92
20011614029_1800265372.html,2.79,"Result  BP-401 T,BP-402 T,BP-404 T,BP-405 T,"
20011614032_1800265372.html,8.93,Result  PASS
20011614019_1800265372.html,8.07,Result  PASS
