date,state_name,veg_name,price,retail_price,mall_price,unit,veg_image
2024-05-05,Himachal Pradesh,Cauliflower,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Himachal Pradesh,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Himachal Pradesh,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-05,Himachal Pradesh,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-05,Himachal Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Himachal Pradesh,Coriander Leaves,7,8 - 9,8 - 12,1kg,N/A
2024-05-05,Himachal Pradesh,Corn,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Himachal Pradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Himachal Pradesh,Curry Leaves,29,33 - 37,35 - 48,1kg,N/A
2024-05-05,Himachal Pradesh,Dill Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-05,Himachal Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,N/A
2024-05-05,Himachal Pradesh,Brinjal,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Himachal Pradesh,Brinjal (Big),21,24 - 27,25 - 35,1kg,N/A
2024-05-05,Himachal Pradesh,Elephant Yam,30,35 - 38,36 - 50,1kg,N/A
2024-05-05,Himachal Pradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-05,Himachal Pradesh,French Beans,49,56 - 62,59 - 81,1kg,N/A
2024-05-05,Himachal Pradesh,Garlic,174,200 - 221,209 - 287,1kg,N/A
2024-05-05,Himachal Pradesh,Ginger,114,131 - 145,137 - 188,1kg,N/A
2024-05-05,Himachal Pradesh,Onion Green,45,52 - 57,54 - 74,1kg,N/A
2024-05-05,Himachal Pradesh,Green Peas,41,47 - 52,49 - 68,1kg,N/A
2024-05-05,Himachal Pradesh,Ivy Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-05,Himachal Pradesh,Lemon (Lime),61,70 - 77,73 - 101,1kg,N/A
2024-05-05,Himachal Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Himachal Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-05,Himachal Pradesh,Mushroom,73,84 - 93,88 - 120,1kg,N/A
2024-05-05,Himachal Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-05,Himachal Pradesh,Ladies Finger,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Himachal Pradesh,Pumpkin,21,24 - 27,25 - 35,1kg,N/A
2024-05-05,Himachal Pradesh,Radish,23,26 - 29,28 - 38,1kg,N/A
2024-05-05,Himachal Pradesh,Ridge Gourd,28,32 - 36,34 - 46,1kg,N/A
