date,state_name,veg_name,price,retail_price,mall_price,unit,veg_image
2024-05-16,Himachal Pradesh,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-16,Himachal Pradesh,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-16,Himachal Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-16,Himachal Pradesh,Colocasia,30,35 - 38,36 - 50,1kg,N/A
2024-05-16,Himachal Pradesh,Coriander Leaves,9,10 - 11,11 - 15,1kg,N/A
2024-05-16,Himachal Pradesh,Corn,35,40 - 44,42 - 58,1kg,N/A
2024-05-16,Himachal Pradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-16,Himachal Pradesh,Curry Leaves,30,35 - 38,36 - 50,1kg,N/A
2024-05-16,Himachal Pradesh,Dill Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-16,Himachal Pradesh,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-16,Himachal Pradesh,Brinjal,38,44 - 48,46 - 63,1kg,N/A
2024-05-16,Himachal Pradesh,Brinjal (Big),35,40 - 44,42 - 58,1kg,N/A
2024-05-16,Himachal Pradesh,Elephant Yam,38,44 - 48,46 - 63,1kg,N/A
2024-05-16,Himachal Pradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-16,Himachal Pradesh,French Beans,172,198 - 218,206 - 284,1kg,N/A
2024-05-16,Himachal Pradesh,Garlic,263,302 - 334,316 - 434,1kg,N/A
2024-05-16,Himachal Pradesh,Ginger,100,115 - 127,120 - 165,1kg,N/A
2024-05-16,Himachal Pradesh,Onion Green,39,45 - 50,47 - 64,1kg,N/A
2024-05-16,Himachal Pradesh,Green Peas,46,53 - 58,55 - 76,1kg,N/A
2024-05-16,Himachal Pradesh,Ivy Gourd,26,30 - 33,31 - 43,1kg,N/A
2024-05-16,Himachal Pradesh,Lemon (Lime),88,101 - 112,106 - 145,1kg,N/A
2024-05-16,Himachal Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,N/A
2024-05-16,Himachal Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-16,Himachal Pradesh,Mushroom,73,84 - 93,88 - 120,1kg,N/A
2024-05-16,Himachal Pradesh,Mustard Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-16,Himachal Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,N/A
2024-05-16,Himachal Pradesh,Pumpkin,23,26 - 29,28 - 38,1kg,N/A
2024-05-16,Himachal Pradesh,Radish,38,44 - 48,46 - 63,1kg,N/A
2024-05-16,Himachal Pradesh,Ridge Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-16,Himachal Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,N/A
2024-05-16,Himachal Pradesh,Snake Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-16,Himachal Pradesh,Sorrel Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-16,Himachal Pradesh,Spinach,14,16 - 18,17 - 23,1kg,N/A
2024-05-16,Himachal Pradesh,Sweet Potato,37,43 - 47,44 - 61,1kg,N/A
2024-05-17,Himachal Pradesh,Onion Big,25,29 - 32,30 - 41,1kg,N/A
2024-05-17,Himachal Pradesh,Onion Small,37,43 - 47,44 - 61,1kg,N/A
2024-05-17,Himachal Pradesh,Tomato,23,26 - 29,28 - 38,1kg,N/A
2024-05-17,Himachal Pradesh,Green Chilli,63,72 - 80,76 - 104,1kg,N/A
2024-05-17,Himachal Pradesh,Beetroot,39,45 - 50,47 - 64,1kg,N/A
2024-05-17,Himachal Pradesh,Potato,33,38 - 42,40 - 54,1kg,N/A
2024-05-17,Himachal Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-17,Himachal Pradesh,Amaranth Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-17,Himachal Pradesh,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-17,Himachal Pradesh,Ash gourd,24,28 - 30,29 - 40,1kg,N/A
2024-05-17,Himachal Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-17,Himachal Pradesh,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-17,Himachal Pradesh,Capsicum,43,49 - 55,52 - 71,1kg,N/A
2024-05-17,Himachal Pradesh,Bitter Gourd,31,36 - 39,37 - 51,1kg,N/A
2024-05-17,Himachal Pradesh,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Himachal Pradesh,Butter Beans,51,59 - 65,61 - 84,1kg,N/A
2024-05-17,Himachal Pradesh,Broad Beans,75,86 - 95,90 - 124,1kg,N/A
2024-05-17,Himachal Pradesh,Cabbage,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Himachal Pradesh,Carrot,41,47 - 52,49 - 68,1kg,N/A
2024-05-17,Himachal Pradesh,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-17,Himachal Pradesh,Cluster beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-17,Himachal Pradesh,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-17,Himachal Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-17,Himachal Pradesh,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-17,Himachal Pradesh,Coriander Leaves,9,10 - 11,11 - 15,1kg,N/A
2024-05-17,Himachal Pradesh,Corn,31,36 - 39,37 - 51,1kg,N/A
2024-05-17,Himachal Pradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-17,Himachal Pradesh,Curry Leaves,26,30 - 33,31 - 43,1kg,N/A
2024-05-17,Himachal Pradesh,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-17,Himachal Pradesh,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Himachal Pradesh,Brinjal,36,41 - 46,43 - 59,1kg,N/A
2024-05-17,Himachal Pradesh,Brinjal (Big),31,36 - 39,37 - 51,1kg,N/A
2024-05-17,Himachal Pradesh,Elephant Yam,37,43 - 47,44 - 61,1kg,N/A
2024-05-17,Himachal Pradesh,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-17,Himachal Pradesh,French Beans,172,198 - 218,206 - 284,1kg,N/A
2024-05-17,Himachal Pradesh,Garlic,265,305 - 337,318 - 437,1kg,N/A
2024-05-17,Himachal Pradesh,Ginger,137,158 - 174,164 - 226,1kg,N/A
2024-05-17,Himachal Pradesh,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-17,Himachal Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,N/A
2024-05-17,Himachal Pradesh,Ivy Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-17,Himachal Pradesh,Lemon (Lime),101,116 - 128,121 - 167,1kg,N/A
2024-05-17,Himachal Pradesh,Mango Raw,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Himachal Pradesh,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-17,Himachal Pradesh,Mushroom,72,83 - 91,86 - 119,1kg,N/A
2024-05-17,Himachal Pradesh,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-17,Himachal Pradesh,Ladies Finger,46,53 - 58,55 - 76,1kg,N/A
2024-05-17,Himachal Pradesh,Pumpkin,22,25 - 28,26 - 36,1kg,N/A
2024-05-17,Himachal Pradesh,Radish,32,37 - 41,38 - 53,1kg,N/A
2024-05-17,Himachal Pradesh,Ridge Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-17,Himachal Pradesh,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,N/A
2024-05-17,Himachal Pradesh,Snake Gourd,36,41 - 46,43 - 59,1kg,N/A
2024-05-17,Himachal Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-17,Himachal Pradesh,Spinach,10,12 - 13,12 - 17,1kg,N/A
2024-05-17,Himachal Pradesh,Sweet Potato,37,43 - 47,44 - 61,1kg,N/A
2024-05-18,Himachal Pradesh,Onion Big,25,29 - 32,30 - 41,1kg,N/A
2024-05-18,Himachal Pradesh,Onion Small,37,43 - 47,44 - 61,1kg,N/A
2024-05-18,Himachal Pradesh,Tomato,23,26 - 29,28 - 38,1kg,N/A
2024-05-18,Himachal Pradesh,Green Chilli,63,72 - 80,76 - 104,1kg,N/A
2024-05-18,Himachal Pradesh,Beetroot,39,45 - 50,47 - 64,1kg,N/A
2024-05-18,Himachal Pradesh,Potato,33,38 - 42,40 - 54,1kg,N/A
2024-05-18,Himachal Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-18,Himachal Pradesh,Amaranth Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-18,Himachal Pradesh,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-18,Himachal Pradesh,Ash gourd,24,28 - 30,29 - 40,1kg,N/A
2024-05-18,Himachal Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-18,Himachal Pradesh,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-18,Himachal Pradesh,Capsicum,43,49 - 55,52 - 71,1kg,N/A
2024-05-18,Himachal Pradesh,Bitter Gourd,31,36 - 39,37 - 51,1kg,N/A
2024-05-18,Himachal Pradesh,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Himachal Pradesh,Butter Beans,51,59 - 65,61 - 84,1kg,N/A
2024-05-18,Himachal Pradesh,Broad Beans,75,86 - 95,90 - 124,1kg,N/A
2024-05-18,Himachal Pradesh,Cabbage,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Himachal Pradesh,Carrot,41,47 - 52,49 - 68,1kg,N/A
2024-05-18,Himachal Pradesh,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-18,Himachal Pradesh,Cluster beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-18,Himachal Pradesh,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-18,Himachal Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-18,Himachal Pradesh,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-18,Himachal Pradesh,Coriander Leaves,9,10 - 11,11 - 15,1kg,N/A
2024-05-18,Himachal Pradesh,Corn,31,36 - 39,37 - 51,1kg,N/A
2024-05-18,Himachal Pradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-18,Himachal Pradesh,Curry Leaves,26,30 - 33,31 - 43,1kg,N/A
2024-05-18,Himachal Pradesh,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-18,Himachal Pradesh,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Himachal Pradesh,Brinjal,36,41 - 46,43 - 59,1kg,N/A
2024-05-18,Himachal Pradesh,Brinjal (Big),31,36 - 39,37 - 51,1kg,N/A
2024-05-18,Himachal Pradesh,Elephant Yam,37,43 - 47,44 - 61,1kg,N/A
2024-05-18,Himachal Pradesh,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-18,Himachal Pradesh,French Beans,172,198 - 218,206 - 284,1kg,N/A
2024-05-18,Himachal Pradesh,Garlic,265,305 - 337,318 - 437,1kg,N/A
2024-05-18,Himachal Pradesh,Ginger,137,158 - 174,164 - 226,1kg,N/A
2024-05-18,Himachal Pradesh,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-18,Himachal Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,N/A
2024-05-18,Himachal Pradesh,Ivy Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-18,Himachal Pradesh,Lemon (Lime),101,116 - 128,121 - 167,1kg,N/A
2024-05-18,Himachal Pradesh,Mango Raw,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Himachal Pradesh,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-18,Himachal Pradesh,Mushroom,72,83 - 91,86 - 119,1kg,N/A
2024-05-18,Himachal Pradesh,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-18,Himachal Pradesh,Ladies Finger,46,53 - 58,55 - 76,1kg,N/A
2024-05-18,Himachal Pradesh,Pumpkin,22,25 - 28,26 - 36,1kg,N/A
2024-05-18,Himachal Pradesh,Radish,32,37 - 41,38 - 53,1kg,N/A
2024-05-18,Himachal Pradesh,Ridge Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-18,Himachal Pradesh,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,N/A
2024-05-18,Himachal Pradesh,Snake Gourd,36,41 - 46,43 - 59,1kg,N/A
2024-05-18,Himachal Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-18,Himachal Pradesh,Spinach,10,12 - 13,12 - 17,1kg,N/A
2024-05-18,Himachal Pradesh,Sweet Potato,37,43 - 47,44 - 61,1kg,N/A
2024-05-19,Himachal Pradesh,Onion Big,25,29 - 32,30 - 41,1kg,N/A
2024-05-19,Himachal Pradesh,Onion Small,37,43 - 47,44 - 61,1kg,N/A
2024-05-19,Himachal Pradesh,Tomato,23,26 - 29,28 - 38,1kg,N/A
2024-05-19,Himachal Pradesh,Green Chilli,63,72 - 80,76 - 104,1kg,N/A
2024-05-19,Himachal Pradesh,Beetroot,39,45 - 50,47 - 64,1kg,N/A
2024-05-19,Himachal Pradesh,Potato,33,38 - 42,40 - 54,1kg,N/A
2024-05-19,Himachal Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,N/A
2024-05-19,Himachal Pradesh,Amaranth Leaves,14,16 - 18,17 - 23,1kg,N/A
2024-05-19,Himachal Pradesh,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-19,Himachal Pradesh,Ash gourd,24,28 - 30,29 - 40,1kg,N/A
2024-05-19,Himachal Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,N/A
2024-05-19,Himachal Pradesh,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-19,Himachal Pradesh,Capsicum,43,49 - 55,52 - 71,1kg,N/A
2024-05-19,Himachal Pradesh,Bitter Gourd,31,36 - 39,37 - 51,1kg,N/A
2024-05-19,Himachal Pradesh,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Himachal Pradesh,Butter Beans,51,59 - 65,61 - 84,1kg,N/A
2024-05-19,Himachal Pradesh,Broad Beans,75,86 - 95,90 - 124,1kg,N/A
2024-05-19,Himachal Pradesh,Cabbage,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Himachal Pradesh,Carrot,41,47 - 52,49 - 68,1kg,N/A
2024-05-19,Himachal Pradesh,Cauliflower,25,29 - 32,30 - 41,1kg,N/A
2024-05-19,Himachal Pradesh,Cluster beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-19,Himachal Pradesh,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-19,Himachal Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-19,Himachal Pradesh,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-19,Himachal Pradesh,Coriander Leaves,9,10 - 11,11 - 15,1kg,N/A
2024-05-19,Himachal Pradesh,Corn,31,36 - 39,37 - 51,1kg,N/A
2024-05-19,Himachal Pradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-19,Himachal Pradesh,Curry Leaves,26,30 - 33,31 - 43,1kg,N/A
2024-05-19,Himachal Pradesh,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-19,Himachal Pradesh,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Himachal Pradesh,Brinjal,36,41 - 46,43 - 59,1kg,N/A
2024-05-19,Himachal Pradesh,Brinjal (Big),31,36 - 39,37 - 51,1kg,N/A
2024-05-19,Himachal Pradesh,Elephant Yam,37,43 - 47,44 - 61,1kg,N/A
2024-05-19,Himachal Pradesh,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,N/A
2024-05-19,Himachal Pradesh,French Beans,172,198 - 218,206 - 284,1kg,N/A
2024-05-19,Himachal Pradesh,Garlic,265,305 - 337,318 - 437,1kg,N/A
2024-05-19,Himachal Pradesh,Ginger,137,158 - 174,164 - 226,1kg,N/A
2024-05-19,Himachal Pradesh,Onion Green,41,47 - 52,49 - 68,1kg,N/A
2024-05-19,Himachal Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,N/A
2024-05-19,Himachal Pradesh,Ivy Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-19,Himachal Pradesh,Lemon (Lime),101,116 - 128,121 - 167,1kg,N/A
2024-05-19,Himachal Pradesh,Mango Raw,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Himachal Pradesh,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-19,Himachal Pradesh,Mushroom,72,83 - 91,86 - 119,1kg,N/A
2024-05-19,Himachal Pradesh,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-19,Himachal Pradesh,Ladies Finger,46,53 - 58,55 - 76,1kg,N/A
2024-05-19,Himachal Pradesh,Pumpkin,22,25 - 28,26 - 36,1kg,N/A
2024-05-19,Himachal Pradesh,Radish,32,37 - 41,38 - 53,1kg,N/A
2024-05-19,Himachal Pradesh,Ridge Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-19,Himachal Pradesh,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,N/A
2024-05-19,Himachal Pradesh,Snake Gourd,36,41 - 46,43 - 59,1kg,N/A
2024-05-19,Himachal Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-19,Himachal Pradesh,Spinach,10,12 - 13,12 - 17,1kg,N/A
2024-05-19,Himachal Pradesh,Sweet Potato,37,43 - 47,44 - 61,1kg,N/A
2024-05-20,Himachal Pradesh,Onion Big,23,26 - 29,28 - 38,1kg,N/A
2024-05-20,Himachal Pradesh,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-20,Himachal Pradesh,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-20,Himachal Pradesh,Green Chilli,68,78 - 86,82 - 112,1kg,N/A
2024-05-20,Himachal Pradesh,Beetroot,35,40 - 44,42 - 58,1kg,N/A
2024-05-20,Himachal Pradesh,Potato,35,40 - 44,42 - 58,1kg,N/A
2024-05-20,Himachal Pradesh,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-20,Himachal Pradesh,Amaranth Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-20,Himachal Pradesh,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-20,Himachal Pradesh,Ash gourd,22,25 - 28,26 - 36,1kg,N/A
2024-05-20,Himachal Pradesh,Baby Corn,49,56 - 62,59 - 81,1kg,N/A
2024-05-20,Himachal Pradesh,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-20,Himachal Pradesh,Capsicum,44,51 - 56,53 - 73,1kg,N/A
2024-05-20,Himachal Pradesh,Bitter Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-20,Himachal Pradesh,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-20,Himachal Pradesh,Butter Beans,52,60 - 66,62 - 86,1kg,N/A
2024-05-20,Himachal Pradesh,Broad Beans,61,70 - 77,73 - 101,1kg,N/A
2024-05-20,Himachal Pradesh,Cabbage,29,33 - 37,35 - 48,1kg,N/A
2024-05-20,Himachal Pradesh,Carrot,44,51 - 56,53 - 73,1kg,N/A
2024-05-20,Himachal Pradesh,Cauliflower,24,28 - 30,29 - 40,1kg,N/A
2024-05-20,Himachal Pradesh,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-20,Himachal Pradesh,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-20,Himachal Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-20,Himachal Pradesh,Colocasia,30,35 - 38,36 - 50,1kg,N/A
2024-05-20,Himachal Pradesh,Coriander Leaves,7,8 - 9,8 - 12,1kg,N/A
2024-05-20,Himachal Pradesh,Corn,30,35 - 38,36 - 50,1kg,N/A
2024-05-20,Himachal Pradesh,Cucumber,27,31 - 34,32 - 45,1kg,N/A
2024-05-20,Himachal Pradesh,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-20,Himachal Pradesh,Dill Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-20,Himachal Pradesh,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-20,Himachal Pradesh,Brinjal,33,38 - 42,40 - 54,1kg,N/A
2024-05-20,Himachal Pradesh,Brinjal (Big),36,41 - 46,43 - 59,1kg,N/A
2024-05-20,Himachal Pradesh,Elephant Yam,37,43 - 47,44 - 61,1kg,N/A
2024-05-20,Himachal Pradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-20,Himachal Pradesh,French Beans,165,190 - 210,198 - 272,1kg,N/A
2024-05-20,Himachal Pradesh,Garlic,251,289 - 319,301 - 414,1kg,N/A
2024-05-20,Himachal Pradesh,Ginger,121,139 - 154,145 - 200,1kg,N/A
2024-05-20,Himachal Pradesh,Onion Green,44,51 - 56,53 - 73,1kg,N/A
2024-05-20,Himachal Pradesh,Green Peas,41,47 - 52,49 - 68,1kg,N/A
2024-05-20,Himachal Pradesh,Ivy Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-20,Himachal Pradesh,Lemon (Lime),98,113 - 124,118 - 162,1kg,N/A
2024-05-20,Himachal Pradesh,Mango Raw,30,35 - 38,36 - 50,1kg,N/A
2024-05-20,Himachal Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-20,Himachal Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,N/A
2024-05-20,Himachal Pradesh,Mustard Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-20,Himachal Pradesh,Ladies Finger,40,46 - 51,48 - 66,1kg,N/A
2024-05-20,Himachal Pradesh,Pumpkin,20,23 - 25,24 - 33,1kg,N/A
2024-05-20,Himachal Pradesh,Radish,33,38 - 42,40 - 54,1kg,N/A
2024-05-20,Himachal Pradesh,Ridge Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-20,Himachal Pradesh,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg,N/A
2024-05-20,Himachal Pradesh,Snake Gourd,38,44 - 48,46 - 63,1kg,N/A
2024-05-20,Himachal Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-20,Himachal Pradesh,Spinach,17,20 - 22,20 - 28,1kg,N/A
2024-05-20,Himachal Pradesh,Sweet Potato,36,41 - 46,43 - 59,1kg,N/A
2024-05-21,Himachal Pradesh,Onion Big,23,26 - 29,28 - 38,1kg,N/A
2024-05-21,Himachal Pradesh,Onion Small,33,38 - 42,40 - 54,1kg,N/A
2024-05-21,Himachal Pradesh,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-21,Himachal Pradesh,Green Chilli,68,78 - 86,82 - 112,1kg,N/A
2024-05-21,Himachal Pradesh,Beetroot,35,40 - 44,42 - 58,1kg,N/A
2024-05-21,Himachal Pradesh,Potato,35,40 - 44,42 - 58,1kg,N/A
2024-05-21,Himachal Pradesh,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-21,Himachal Pradesh,Amaranth Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-21,Himachal Pradesh,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-21,Himachal Pradesh,Ash gourd,22,25 - 28,26 - 36,1kg,N/A
2024-05-21,Himachal Pradesh,Baby Corn,49,56 - 62,59 - 81,1kg,N/A
2024-05-21,Himachal Pradesh,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-21,Himachal Pradesh,Capsicum,44,51 - 56,53 - 73,1kg,N/A
2024-05-21,Himachal Pradesh,Bitter Gourd,34,39 - 43,41 - 56,1kg,N/A
2024-05-21,Himachal Pradesh,Bottle Gourd,30,35 - 38,36 - 50,1kg,N/A
2024-05-21,Himachal Pradesh,Butter Beans,52,60 - 66,62 - 86,1kg,N/A
2024-05-21,Himachal Pradesh,Broad Beans,61,70 - 77,73 - 101,1kg,N/A
2024-05-21,Himachal Pradesh,Cabbage,29,33 - 37,35 - 48,1kg,N/A
2024-05-21,Himachal Pradesh,Carrot,44,51 - 56,53 - 73,1kg,N/A
2024-05-21,Himachal Pradesh,Cauliflower,24,28 - 30,29 - 40,1kg,N/A
2024-05-21,Himachal Pradesh,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-21,Himachal Pradesh,Coconut,38,44 - 48,46 - 63,1kg,N/A
2024-05-21,Himachal Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,N/A
2024-05-21,Himachal Pradesh,Colocasia,30,35 - 38,36 - 50,1kg,N/A
2024-05-21,Himachal Pradesh,Coriander Leaves,7,8 - 9,8 - 12,1kg,N/A
2024-05-21,Himachal Pradesh,Corn,30,35 - 38,36 - 50,1kg,N/A
2024-05-21,Himachal Pradesh,Cucumber,27,31 - 34,32 - 45,1kg,N/A
2024-05-21,Himachal Pradesh,Curry Leaves,27,31 - 34,32 - 45,1kg,N/A
2024-05-21,Himachal Pradesh,Dill Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-21,Himachal Pradesh,Drumsticks,30,35 - 38,36 - 50,1kg,N/A
2024-05-21,Himachal Pradesh,Brinjal,33,38 - 42,40 - 54,1kg,N/A
2024-05-21,Himachal Pradesh,Brinjal (Big),36,41 - 46,43 - 59,1kg,N/A
2024-05-21,Himachal Pradesh,Elephant Yam,37,43 - 47,44 - 61,1kg,N/A
2024-05-21,Himachal Pradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-21,Himachal Pradesh,French Beans,165,190 - 210,198 - 272,1kg,N/A
2024-05-21,Himachal Pradesh,Garlic,251,289 - 319,301 - 414,1kg,N/A
2024-05-21,Himachal Pradesh,Ginger,121,139 - 154,145 - 200,1kg,N/A
2024-05-21,Himachal Pradesh,Onion Green,44,51 - 56,53 - 73,1kg,N/A
2024-05-21,Himachal Pradesh,Green Peas,41,47 - 52,49 - 68,1kg,N/A
2024-05-21,Himachal Pradesh,Ivy Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-21,Himachal Pradesh,Lemon (Lime),98,113 - 124,118 - 162,1kg,N/A
2024-05-21,Himachal Pradesh,Mango Raw,30,35 - 38,36 - 50,1kg,N/A
2024-05-21,Himachal Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,N/A
2024-05-21,Himachal Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,N/A
2024-05-21,Himachal Pradesh,Mustard Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-21,Himachal Pradesh,Ladies Finger,40,46 - 51,48 - 66,1kg,N/A
2024-05-21,Himachal Pradesh,Pumpkin,20,23 - 25,24 - 33,1kg,N/A
2024-05-21,Himachal Pradesh,Radish,33,38 - 42,40 - 54,1kg,N/A
2024-05-21,Himachal Pradesh,Ridge Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-21,Himachal Pradesh,Shallot (Pearl Onion),37,43 - 47,44 - 61,1kg,N/A
2024-05-21,Himachal Pradesh,Snake Gourd,38,44 - 48,46 - 63,1kg,N/A
2024-05-21,Himachal Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,N/A
